OMS_SKU,OMS_Inventory,Buffer_Stock,Amazon_Inventory,FBA_InTransit,Myntra_Other_Inventory,Flipkart_Inventory,Marketplace_Total,Total_Inventory,Manual_InTransit,Not_In_Inventory_Qty,Sold_Units,Return_Units,Net_Units,Return_Overlay_Units,Ship_Units_150d,Lead_Time_Days,PO_Block_Reason,Eff_Days,Eff_Days_Inventory,Inv_Coverage_Days,Recent_ADS,Flat30_ADS,LY_Sold_Units,LY_Net_Units,LY_ADS,Seasonal_Month_ADS,ADS,Gross_PO_Qty,PO_Pipeline_Total,PO_Qty_Ordered,Pending_Cutting,Balance_to_Dispatch,Days_Left,SKU_Sheet_Status,SKU_Sheet_Closed,Lead_Time_From_Status_Sheet,PO_Confirmed_Raise_Pipeline,PO_Raised_Yesterday,PO_Raised_Today,PO_Last_Raised_Qty,PO_Raised_On_View_Date,PO_Last_Raised_Date,PO_Pipeline_Effective,PO_Qty,Stockout_Flag,Priority,Parent_SKU,Cutting_Ratio,Projected_Running_Days,Post_PO_Cover_Days_Capped,Suggest_Close_SKU,Bundle_Size,Cutting_Source,Cut_From_Siblings,PO_Cutting_Note,Oct-Dec 2024,Jan-Mar 2025,Apr-Jun 2025,Jul-Sep 2025,Oct-Dec 2025,Jan-Mar 2026,Apr-Jun 2026,Jul-Sep 2026
1947YKGREEN-L,11.0,5.0,1.0,0.0,0.0,0.0,40.0,51.0,6,33,7,0.0,7,0,50,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,28.0,28,28,0.25,0.233,0.0,0.0,0.0,0.0,0.233,0,6,0,0,6,218.9,New SKU,False,True,0,0,0,0,0,,6,0,,🔄 In Pipeline,1947YKGREEN,0.0,244.6,244.6,,,,,,0,0,0,0,0,23,30,3
1947YKGREEN-M,18.0,6.0,4.0,0.0,0.0,0.0,8.0,26.0,4,0,9,0.0,9,0,34,45,,28.0,28,28,0.321,0.3,0.0,0.0,0.0,0.0,0.3,30,0,0,0,0,86.7,New SKU,False,True,0,0,0,0,0,,0,30,,🟡 HIGH,1947YKGREEN,0.0,86.7,186.7,,,,,,0,0,0,0,0,20,19,1
1947YKGREEN-S,3.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,0,0,2,0.0,2,0,14,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,28.0,28,28,0.071,0.067,0.0,0.0,0.0,0.0,0.071,0,21,0,0,21,56.3,New SKU,False,True,0,0,0,0,0,,21,0,,🔄 In Pipeline,1947YKGREEN,0.0,352.1,352.1,,,,,,0,0,0,0,0,8,8,0
1947YKGREEN-XL,8.0,4.0,3.0,0.0,0.0,0.0,36.0,44.0,4,29,10,0.0,10,0,55,45,,21.0,21,28,0.476,0.3,0.0,0.0,0.0,0.0,0.333,20,2,0,0,2,132.1,New SKU,False,True,0,0,0,0,0,,2,20,,🟡 HIGH,1947YKGREEN,0.0,138.1,198.2,,,,,,0,0,0,0,0,36,22,5
1947YKGREEN-XS,3.0,3.0,1.0,0.0,0.0,0.0,4.0,7.0,0,3,2,0.0,2,0,17,45,,28.0,28,28,0.071,0.067,0.0,0.0,0.0,0.0,0.071,5,3,0,0,3,98.6,New SKU,False,True,0,0,0,0,0,,3,5,,🟡 HIGH,1947YKGREEN,0.0,140.8,211.3,,,,,,0,0,0,0,0,6,11,0
1947YKGREEN-XXL,2.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,2,0,7,1.0,6,0,57,45,,10.0,10,28,0.7,0.233,0.0,0.0,0.0,0.0,0.233,40,7,0,0,7,17.2,New SKU,False,True,0,0,0,0,0,,7,40,,🔴 URGENT,1947YKGREEN,0.444,47.2,218.9,,,,,,0,0,0,0,0,32,29,6
1948YKORANGE-XS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,3,0.0,3,0,27,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,15.0,0,28,0.2,0.1,0.0,0.0,0.0,0.0,0.2,0,100,0,100,0,5.0,High selling,False,True,0,0,0,0,0,,100,0,,🔄 In Pipeline,1948YKORANGE,0.0,505.0,505.0,,,,,,0,0,0,0,0,21,11,0
1949YKPINK-S,1.0,1.0,8.0,0.0,0.0,0.0,8.0,9.0,0,0,3,1.0,2,0,32,45,Only 1 size in parent SKU has demand — recommend altering this SKU to another size before raising PO,4.0,4,28,0.75,0.1,0.0,0.0,0.0,0.0,0.75,0,0,0,0,0,12.0,High selling,False,True,0,0,0,0,0,,0,0,,⚪ OK,1949YKPINK,0.0,12.0,12.0,Strong seller vs other sizes — keep in depth.,,,,,0,0,0,0,1,30,6,1
1949YKPINK-XL,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,8,5.0,3,0,71,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,7.0,7,28,1.143,0.267,0.0,0.0,0.0,0.0,0.267,0,91,0,90,1,3.7,High selling,False,True,0,0,0,0,0,,91,0,,🔄 In Pipeline,1949YKPINK,0.0,344.6,344.6,,,,,,0,0,0,0,4,51,30,4
1949YKPINK-XS,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0,0,5,3.0,2,0,27,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,25.0,25,28,0.2,0.167,0.0,0.0,0.0,0.0,0.2,0,15,0,15,0,15.0,High selling,False,True,0,0,0,0,0,,15,0,,🔄 In Pipeline,1949YKPINK,0.0,90.0,90.0,,,,,,0,0,0,0,0,18,9,2
