OMS_SKU,OMS_Inventory,Buffer_Stock,Amazon_Inventory,Myntra_Other_Inventory,Flipkart_Inventory,Marketplace_Total,Total_Inventory,Manual_InTransit,Not_In_Inventory_Qty
1068YKBLUE-L,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1069YKBLUE-3XL,7.0,6.0,0.0,0.0,0.0,0.0,7.0,0,0
1069YKBLUE-4XL,14.0,4.0,4.0,0.0,0.0,4.0,18.0,0,0
1069YKBLUE-5XL,15.0,4.0,0.0,0.0,0.0,0.0,15.0,0,0
1069YKBLUE-L,55.0,8.0,24.0,0.0,0.0,24.0,79.0,0,0
1069YKBLUE-M,26.0,8.0,17.0,0.0,0.0,21.0,47.0,4,0
1069YKBLUE-S,52.0,8.0,3.0,0.0,0.0,3.0,55.0,0,0
1069YKBLUE-XL,28.0,7.0,6.0,0.0,0.0,8.0,36.0,2,0
1069YKBLUE-XS,16.0,4.0,2.0,0.0,0.0,2.0,18.0,0,0
1069YKBLUE-XXL,14.0,4.0,0.0,1.0,0.0,1.0,15.0,0,0
1070YKRED-S,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1072YKBLACK-3XL,14.0,5.0,11.0,0.0,0.0,11.0,25.0,0,0
1072YKBLACK-4XL,0.0,0.0,4.0,0.0,0.0,8.0,8.0,4,0
1072YKBLACK-5XL,16.0,8.0,13.0,0.0,0.0,13.0,29.0,0,0
1072YKBLACK-L,10.0,5.0,5.0,0.0,0.0,5.0,15.0,0,0
1072YKBLACK-M,31.0,5.0,9.0,0.0,0.0,9.0,40.0,0,0
1072YKBLACK-S,24.0,4.0,7.0,0.0,0.0,7.0,31.0,0,0
1072YKBLACK-XL,48.0,6.0,10.0,0.0,0.0,10.0,58.0,0,0
1072YKBLACK-XXL,17.0,6.0,8.0,0.0,0.0,8.0,25.0,0,0
1073YKBLUE-L,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1073YKBLUE-M,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1080YKLEMON-3XL,21.0,8.0,10.0,0.0,0.0,10.0,31.0,0,0
1080YKLEMON-4XL,14.0,5.0,6.0,0.0,0.0,11.0,25.0,5,0
1080YKLEMON-5XL,11.0,6.0,2.0,0.0,0.0,2.0,13.0,0,0
1080YKLEMON-L,17.0,8.0,12.0,0.0,0.0,14.0,31.0,2,0
1080YKLEMON-M,18.0,8.0,8.0,0.0,0.0,8.0,26.0,0,0
1080YKLEMON-S,30.0,9.0,5.0,0.0,0.0,5.0,35.0,0,0
1080YKLEMON-XL,19.0,6.0,9.0,0.0,0.0,15.0,34.0,6,0
1080YKLEMON-XS,13.0,5.0,1.0,0.0,0.0,1.0,14.0,0,0
