"Warehouse Id","SKU","Title","Listing Id","FSN","Brand","Flipkart Selling Price","Live on Website","Sales 7D","Sales 14D","Sales 30D","Sales 60D","Sales 90D","B2B Scheduled","Transfers Scheduled","B2B Shipped","Transfers Shipped","B2B Receiving","Transfers Receiving","Reserved for Orders and Recalls","Reserved for Internal Processing","Returns Processing","Orders to Dispatch","Recalls to Dispatch","Damaged","QC Reject","Catalog Reject","Returns Reject","Seller Return Reject","Miscellaneous","Length (in cm)","Breadth (in cm)","Height (in cm)","Weight (in kg)","Fulfilment Type","F Assured Badge"
malur_bts,1057YKBLUE-S,IKRASS Casual Printed Women Blue Top,LSTTOPH3FTZFWYEQNUUHUAWPK,TOPH3FTZFWYEQNUU,IKRASS,560.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.43325,29.746955999999997,2.5953720000000002,0.179,"Smart/Flipkart, Seller",Yes
bhi_vas_wh_nl_01nl,165YK251MUSTRAD-XS,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SPY4FDZGYFAFAUDS,KTAH27SPY4FDZGYF,IKRASS,595.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29.447490000000002,20.263866,1.043178,0.0618,Seller,Yes
malur_bts,166YK251BLUE-4XL,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SZYEETHNUPOCXLAG,KTAH27SZYEETHNUP,IKRASS,678.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.825418,30.94482,1.392428,0.3312,"Smart/Flipkart, Seller",No
malur_bts,167YK251BLACK-S,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SSRB4FC53VUS14HV,KTAH27SSRB4FC53V,IKRASS,646.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.627554,31.743396,1.347724,0.3244,"Smart/Flipkart, Seller",Yes
bhi_vas_wh_nl_01nl,237YK345PINK-M,IKRASS Casual Embroidered Women Pink Top,LSTTOPH3FTZHPEYRYMQRWC5PT,TOPH3FTZHPEYRYMQ,IKRASS,538.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.43681,26.652474,1.796796,0.126,Seller,Yes
bhi_vas_wh_nl_01nl,167YK251BLACK-L,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SRWNHAQ8XYCALSIM,KTAH27SRWNHAQ8XY,IKRASS,650.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39.529512,28.648914,0.818642,0.0801,"Smart/Flipkart, Seller",Yes
bhi_vas_wh_nl_01nl,6017SKDRED-L,IKRASS Women Kurta Palazzo Dupatta Set,LSTETHHGQUMP6JE6DWRI6WLAE,ETHHGQUMP6JE6DWR,IKRASS,967.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.128444,30.545532,1.639824,0.3397,"Smart/Flipkart, Seller",No
malur_bts,7053YKBLS-XL,IKRASS Round Neck Women Blouse,LSTBLOH3Q7BZZJQKSXXL5EAFY,BLOH3Q7BZZJQKSXX,IKRASS,563.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.943040000000003,28.648914,0.327914,0.0126,"Smart/Flipkart, Seller",Yes
malur_bts,224YK148BNDJ-L,IKRASS Women Printed Frontslit Kurta,LSTKTAH27SPXJHVGKB8ZP4L6N,KTAH27SPXJHVGKB8,IKRASS,801.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.128444,30.545532,1.639824,0.3397,"Smart/Flipkart, Seller",No
malur_bts,166YK251BLUE-L,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SHHXWZPYEDK1YHDL,KTAH27SHHXWZPYED,IKRASS,646.0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.42613,30.745176,1.3208,0.2235,Seller,Yes
