"seller id","warehouse id","po_type","store order id","order release id","order line id","seller order id","order id fk","created on","style id","seller sku code","sku id","myntra sku code","size","vendor article number","brand","style name","article type","order status","packet id","seller packe id","courier code","order tracking number","seller warehouse id","cancellation reason id fk","cancellation reason","packed on","fmpu date","inscanned on","shipped on","delivered on","cancelled on","rto creation date","lost date","return creation date","final amount","total mrp","discount","coupon discount","shipping charge","gift charge","tax recovery","city","state","zipcode","seller price"
"36841","28","SJIT","'133781989507992449203","100265054299","11319789119","3150cbbb-b5be-4b74-bb53-c24b25f7764d","5975884024","2026-08-05 20:22:03.000","11008024","42951412","42951412","YARYTOPS42951412","3XL","237YK345PINK","YASH GALLERY","YASH GALLERY Fuchsia Pink Embroidered Top With Applique","Tops","SH","1000103531548","1935977965","flipkartlogistics","MYSP1447389951","28",,,"2026-08-06 00:25:16.000",,"2026-08-06 00:40:57.000","2026-08-06 00:48:10.000",,,,,,"641.00","1299.00","658.00","0.00","0.00","0.00","0.00","Ghaziabad","UP","201010","582"
"36841","59646","PPMP","'133780580750300507601","100264640976","11319375700","1416ac38-2249-49ca-9398-6836928a2ed3","5975627293","2026-08-05 16:27:17.000","15874216","1373YKPINK-XXL","50751442","YARYKRTI50751442","XXL","1373YKPINK","YASH GALLERY","YASH GALLERY Pink & White Ethnic Motifs Printed Kurti","Kurtis","WP",,,"flipkartlogistics",,"59646",,,,,,,,,,,,"597.00","2559.00","1962.00","0.00","0.00","0.00","0.00","Pune","MH","411021","538"
"36841","59646","PPMP","'133778346393216383003","100263989735","11318724192","daf1c21c-3b81-46ba-b631-dc8a24c87484","5975233713","2026-08-05 10:14:53.000","42025667","DB_1505YKORANGE-M","134268763","DSBYTOPS134268763","M","DB_1505YKORANGE","DressBerry","DressBerry Top","Tops","PK","1000102990156",,"flipkartlogistics","MYSP1447167426","59646",,,"2026-08-05 12:43:31.000","2026-08-05 18:03:07.000",,,,,,,,"362.00","2199.00","1837.00","0.00","0.00","0.00","0.00","Gurgaon","HR","122003","327"
"36841","59646","PPMP","'133778419863937886401","100264009308","11318743780","3474b667-6862-47e9-af4a-179e9e3dd017","5975245134","2026-08-05 10:27:07.000","43562224","DB_7108YKBLUE-F","139030403","DSBYTOPS139030403","Onesize","DB_7108YKBLUE","DressBerry","DressBerry Print Halter Neck Cotton Crop Top","Tops","SH","1000102990414",,"flipkartlogistics","MYSP1447167168","59646",,,"2026-08-05 12:43:41.000","2026-08-05 18:03:01.000","2026-08-06 00:31:27.000","2026-08-06 00:36:43.000",,,,,,"279.00","1999.00","1720.00","0.00","0.00","0.00","0.00","Pune","MH","411002","244"
"36841","59646","PPMP","'133781849614266748001","100265010092","11319744912","51befa03-6061-4702-8469-d681922b7e3f","5975856637","2026-08-05 19:58:45.000","44827609","DB_1685PLYKCPURPLE-5XL","142901103","DSBYTOPS142901103","5XL","DB_1685PLYKCPURPLE","DressBerry","DressBerry Twisted Top","Tops","WP",,,"flipkartlogistics",,"59646",,,,,,,,,,,,"531.00","2599.00","2068.00","0.00","0.00","0.00","0.00","Faridabad","HR","121004","472"
"36841","59646","PPMP","'133778990466817688101","100264175740","11318910289","3bcb7e26-c183-4d27-84fb-393bb0879f72","5975341968","2026-08-05 12:02:13.000","36730581","1750YKPURPLE-L","117457012","YARYKASS117457012","L","1750YKPURPLE","YASH GALLERY","YASH GALLERY Women Floral Printed Regular Pure Cotton Kurta with Trousers & With Dupatta","Kurta Sets","PK","1000103002323",,"EK_E2E","MYEC1113875972","59646",,,"2026-08-05 12:51:02.000","2026-08-05 17:00:24.000",,,,,,,,"1117.00","4999.00","3882.00","0.00","0.00","0.00","0.00","Kondagaon","CT","494226","999"
"36841","59646","PPMP","'133778841329616852301","100264130063","11318864590","4f99ea18-1733-404b-bc99-3335f09c3be5","5975315466","2026-08-05 11:37:21.000","42025650","DB_1685YKPURPLE-M","134268688","DSBYTOPS134268688","M","DB_1685YKPURPLE","DressBerry","DressBerry Round Neck Twisted Top","Tops","SH","1000102990503",,"flipkartlogistics","MYSP1447167611","59646",,,"2026-08-05 12:43:44.000","2026-08-05 18:02:58.000","2026-08-06 00:14:59.000","2026-08-06 00:20:39.000",,,,,,"531.00","2599.00","2068.00","0.00","0.00","0.00","0.00","Mumbai","MH","400026","472"
"36841","81","SJIT","'133782751789942075803","100265311061","11320045886","8b09ca67-1f5c-4252-bc2a-4e2ced1d9111","5976040637","2026-08-05 22:29:07.000","13703536","46520137","46520137","YARYKRTA46520137","3XL","1293YKMAROON","YASH GALLERY","Yash Gallery Women Maroon & Black Ethnic Motifs Printed A-line Kurta","Kurtas","SH","1000103625409","1936090652","flipkartlogistics","MYSC1329272841","81",,,"2026-08-06 03:09:53.000",,"2026-08-06 04:09:46.000","2026-08-06 04:14:51.000",,,,,,"975.00","2399.00","1424.00","0.00","0.00","0.00","0.00","Hyderabad","TG","500009","881"
"36841","59646","PPMP","'133781849464783004903","100265010038","11319744858","7847e381-5ea9-4873-a6d6-786e90a57a86","5975856603","2026-08-05 19:58:43.000","37299731","PLAK-213BROWN-5XL","119276559","YARYCOORD119276559","5XL","PLAK-213BROWN","YASH GALLERY","YASH GALLERY Plus Size Abstract Printed Round Neck Georgette Kaftan Tunic And Palazzo","Co-Ords","WP",,,"flipkartlogistics",,"59646",,,,,,,,,,,,"901.00","3599.00","2698.00","0.00","0.00","0.00","0.00","Jaipur","RJ","302020","807"
"36841","59646","PPMP","'133781833562750702503","100265005093","11319739913","4063ed5f-6bb5-49b1-a44f-4e9a5d89275e","5975853460","2026-08-05 19:56:04.000","38054271","AK-219BLUE-5XL","121541073","YARYTOPS121541073","5XL","AK-219BLUE","YASH GALLERY","YASH GALLERY Striped Top","Tops","WP",,,"flipkartlogistics",,"59646",,,,,,,,,,,,"592.00","1999.00","1407.00","0.00","0.00","0.00","0.00","Guwahati","AS","781011","533"
