OMS_SKU,2026-07-30
1047YKBLUISHEGREY-3XL,0
1047YKBLUISHEGREY-L,1
1047YKBLUISHEGREY-M,5
1047YKBLUISHEGREY-S,20
1047YKBLUISHEGREY-XL,0
1047YKBLUISHEGREY-XS,2
1047YKBLUISHEGREY-XXL,0
1048YKBLUE-3XL,4
1048YKBLUE-4XL,19
1048YKBLUE-5XL,9
1048YKBLUE-6XL,4
1048YKBLUE-7XL,8
1048YKBLUE-8XL,23
1048YKBLUE-L,8
1048YKBLUE-M,21
1048YKBLUE-S,1
1048YKBLUE-XL,3
1048YKBLUE-XS,62
1048YKBLUE-XXL,12
1049YKMAROON-3XL,0
1049YKMAROON-L,0
1049YKMAROON-M,0
1049YKMAROON-S,0
1049YKMAROON-XL,0
1049YKMAROON-XXL,0
104YK219BLUE-L,0
1050YKBLUE-3XL,28
1050YKBLUE-4XL,37
1050YKBLUE-5XL,13
1050YKBLUE-L,19
1050YKBLUE-M,40
1050YKBLUE-S,9
1050YKBLUE-XL,54
1050YKBLUE-XS,13
1050YKBLUE-XXL,22
1051YKMAROON-3XL,5
1051YKMAROON-4XL,2
1051YKMAROON-5XL,1
1051YKMAROON-6XL,3
1051YKMAROON-7XL,5
1051YKMAROON-8XL,3
1051YKMAROON-L,20
1051YKMAROON-M,5
1051YKMAROON-S,1
1051YKMAROON-XL,3
1051YKMAROON-XS,14
1051YKMAROON-XXL,1
1052YKGREEN-3XL,6
1052YKGREEN-4XL,4
1052YKGREEN-5XL,4
1052YKGREEN-L,0
1052YKGREEN-M,5
1052YKGREEN-S,8
1052YKGREEN-XL,0
1052YKGREEN-XS,25
1052YKGREEN-XXL,1
1053YKMAROON-3XL,0
1053YKMAROON-L,0
1053YKMAROON-M,3
1053YKMAROON-S,7
1053YKMAROON-XL,0
1053YKMAROON-XXL,0
1054YKYELLOW-L,0
1054YKYELLOW-M,0
1054YKYELLOW-S,0
1055YKGREEN-3XL,26
1055YKGREEN-4XL,1
1055YKGREEN-5XL,55
1055YKGREEN-L,65
1055YKGREEN-M,12
1055YKGREEN-S,23
1055YKGREEN-XL,69
1055YKGREEN-XS,33
1055YKGREEN-XXL,43
1056YKOFFWHITE-L,0
1056YKOFFWHITE-M,0
1056YKOFFWHITE-S,0
1056YKOFFWHITE-XL,0
1056YKOFFWHITE-XXL,0
1057KDBLUE-11-12,4
1057KDBLUE-13-14,2
1057KDBLUE-7-8,19
1057KDBLUE-9-10,5
1057YKBLUE-3XL,173
1057YKBLUE-4XL,107
1057YKBLUE-5XL,154
1057YKBLUE-6XL,110
1057YKBLUE-7XL,93
1057YKBLUE-8XL,35
1057YKBLUE-L,446
1057YKBLUE-M,640
1057YKBLUE-S,393
1057YKBLUE-XL,402
1057YKBLUE-XS,164
1057YKBLUE-XXL,118
1058YKMUSTARD-L,0
1058YKMUSTARD-M,0
1058YKMUSTARD-S,0
1058YKMUSTARD-XL,0
1059YKMUSTARD-3XL,8
1059YKMUSTARD-4XL,7
1059YKMUSTARD-5XL,2
1059YKMUSTARD-6XL,4
1059YKMUSTARD-7XL,18
1059YKMUSTARD-8XL,3
1059YKMUSTARD-L,10
1059YKMUSTARD-M,22
1059YKMUSTARD-S,1
1059YKMUSTARD-XL,4
1059YKMUSTARD-XS,0
1059YKMUSTARD-XXL,0
105YK224BLACK-L,0
105YK224BLACK-M,5
105YK224BLACK-S,15
105YK224BLACK-XL,0
105YK224BLACK-XXL,0
1060YKBEIGE-3XL,90
1060YKBEIGE-4XL,52
1060YKBEIGE-5XL,76
1060YKBEIGE-L,94
1060YKBEIGE-M,77
1060YKBEIGE-S,54
1060YKBEIGE-XL,44
1060YKBEIGE-XS,50
1060YKBEIGE-XXL,122
1061YKBLUE-3XL,1
1061YKBLUE3XLBLUE,0
1061YKBLUE-4XL,0
1061YKBLUE-5XL,3
1061YKBLUE5XLBLUE,0
1061YKBLUE-6XL,0
1061YKBLUE-7XL,1
1061YKBLUE-8XL,1
1061YKBLUE-L,0
1061YKBLUE-M,4
1061YKBLUE-S,0
1061YKBLUE-XL,1
1061YKBLUE-XXL,1
1062YKSKYBLUE-3XL,0
1062YKSKYBLUE-4XL,0
1062YKSKYBLUE-L,0
1062YKSKYBLUE-M,0
1062YKSKYBLUE-S,23
1062YKSKYBLUE-XL,0
1062YKSKYBLUE-XXL,0
1063YKRED-4XL,0
1063YKRED-L,0
1063YKRED-M,2
1063YKRED-S,30
1063YKRED-XL,0
1063YKRED-XS,1
1063YKRED-XXL,1
1064YKBLUE-3XL,0
1064YKBLUE-4XL,0
1064YKBLUE-5XL,0
1064YKBLUE-L,0
1064YKBLUE-M,0
1064YKBLUE-S,1
1064YKBLUE-XL,0
1064YKBLUE-XS,0
1064YKBLUE-XXL,-1
1065KDBLUE-11-12,4
1065KDBLUE-13-14,1
1065KDBLUE-7-8,21
1065KDBLUE-9-10,12
1065YKBLUE-3XL,49
1065YKBLUE-4XL,93
1065YKBLUE-5XL,66
1065YKBLUE-6XL,26
1065YKBLUE-7XL,52
1065YKBLUE-8XL,29
1065YKBLUE-L,68
1065YKBLUE-M,78
1065YKBLUE-S,24
1065YKBLUE-XL,86
1065YKBLUE-XS,4
1065YKBLUE-XXL,7
1066KDYELLOW-11-12,2
1066KDYELLOW-13-14,4
1066KDYELLOW-7-8,1
1066KDYELLOW-9-10,3
1066YKYELLOW-3XL,35
1066YKYELLOW-4XL,14
1066YKYELLOW-5XL,22
1066YKYELLOW-L,81
1066YKYELLOW-M,134
1066YKYELLOW-S,65
1066YKYELLOW-XL,118
1066YKYELLOW-XS,19
1066YKYELLOW-XXL,117
1067YKBLUE-3XL,0
1067YKBLUE-4XL,0
1067YKBLUE-5XL,0
1067YKBLUE-L,0
1067YKBLUE-M,0
1067YKBLUE-S,0
1067YKBLUE-XL,0
1067YKBLUE-XXL,0
1068YKBLUE-L,1
1068YKBLUE-M,0
1068YKBLUE-S,0
1068YKBLUE-XL,0
1068YKBLUE-XXL,0
1069YKBLUE-3XL,30
1069YKBLUE-4XL,6
1069YKBLUE-5XL,15
1069YKBLUE-L,43
1069YKBLUE-M,43
1069YKBLUE-S,32
1069YKBLUE-XL,7
1069YKBLUE-XS,45
1069YKBLUE-XXL,6
106YK223BROWN-M,0
1070YKRED-3XL,0
1070YKRED-4XL,0
1070YKRED-5XL,0
1070YKRED-L,0
1070YKRED-M,0
1070YKRED-S,1
1070YKRED-XL,0
1070YKRED-XXL,0
1071YKYELLOW-M,0
1071YKYELLOW-S,0
1071YKYELLOW-XL,0
1072YKBLACK-3XL,8
1072YKBLACK-4XL,4
1072YKBLACK-5XL,9
1072YKBLACK-L,0
1072YKBLACK-M,29
1072YKBLACK-S,21
1072YKBLACK-XL,38
1072YKBLACK-XXL,3
1073YKBLUE-L,1
1073YKBLUE-M,0
1073YKBLUE-S,0
1073YKBLUE-XL,0
1073YKBLUE-XXL,0
1074YKGREEN-3XL,0
1074YKGREEN-L,0
1074YKGREEN-M,0
1074YKGREEN-S,0
1074YKGREEN-XL,0
1074YKGREEN-XXL,0
1075YKSKYBLUE-L,0
1075YKSKYBLUE-XXL,0
1076YKBLUE-3XL,0
1076YKBLUE-L,0
1076YKBLUE-M,0
1076YKBLUE-S,0
1076YKBLUE-XL,0
1076YKBLUE-XS,0
1076YKBLUE-XXL,0
1077YKPINK-L,0
1077YKPINK-M,0
1077YKPINK-S,0
1078YKBLUE-3XL,0
1078YKBLUE-L,0
1078YKBLUE-M,0
1078YKBLUE-S,0
1078YKBLUE-XL,0
1078YKBLUE-XXL,0
1080YKLEMON-3XL,26
1080YKLEMON-4XL,64
1080YKLEMON-5XL,31
